time,location,Y,total_sessions,total_carts,total_checkouts,total_orders_placed
2024-01-28,chiapas,Mexico,358,20,14,1
2024-01-28,san luis potosí,Mexico,329,15,14,1
2024-01-28,hidalgo,Mexico,371,16,11,1
2024-01-28,oaxaca,Mexico,178,5,7,0
2024-01-28,aguascalientes,Mexico,291,8,6,0
2024-01-28,zacatecas,Mexico,197,9,6,1
2024-01-28,baja california sur,Mexico,223,7,6,1
2024-01-28,durango,Mexico,186,5,3,1
2024-01-28,campeche,Mexico,262,12,12,1
2024-01-28,nayarit,Mexico,159,3,6,0
2024-01-28,colima,Mexico,132,5,3,2
2024-01-28,tlaxcala,Mexico,151,3,4,2
2024-01-29,mexico city,Mexico,9662,365,308,48
2024-01-29,méxico,Mexico,4606,173,141,20
2024-01-29,nuevo león,Mexico,3006,107,88,11
2024-01-29,jalisco,Mexico,3781,137,110,14
2024-01-29,veracruz,Mexico,1553,47,51,5
2024-01-29,guanajuato,Mexico,1196,44,30,6
2024-01-29,sinaloa,Mexico,975,37,22,3
2024-01-29,puebla,Mexico,1185,32,26,8
2024-01-29,querétaro,Mexico,899,41,27,4
2024-01-29,baja california,Mexico,865,26,23,2
2024-01-29,chihuahua,Mexico,748,32,29,5
2024-01-29,sonora,Mexico,858,26,22,3
2024-01-29,coahuila,Mexico,737,26,8,0
2024-01-29,tamaulipas,Mexico,812,26,24,2
2024-01-29,yucatán,Mexico,983,38,35,6
2024-01-29,quintana roo,Mexico,844,32,34,4
2024-01-29,michoacán,Mexico,712,26,22,1
2024-01-29,morelos,Mexico,503,21,19,1
2024-01-29,tabasco,Mexico,784,33,22,0
2024-01-29,guerrero,Mexico,379,15,7,1
2024-01-29,chiapas,Mexico,403,14,11,2
2024-01-29,san luis potosí,Mexico,380,11,9,0
2024-01-29,hidalgo,Mexico,384,13,11,1
2024-01-29,oaxaca,Mexico,196,6,7,2
2024-01-29,aguascalientes,Mexico,258,10,7,2
2024-01-29,zacatecas,Mexico,180,2,4,0
2024-01-29,baja california sur,Mexico,239,13,7,2
2024-01-29,durango,Mexico,181,4,3,0
2024-01-29,campeche,Mexico,244,6,6,1
2024-01-29,nayarit,Mexico,162,6,8,0
2024-01-29,colima,Mexico,119,3,5,0
2024-01-29,tlaxcala,Mexico,131,4,2,0
2024-01-30,mexico city,Mexico,8474,364,320,54
2024-01-30,méxico,Mexico,3927,184,155,19
2024-01-30,nuevo león,Mexico,2737,95,78,9
2024-01-30,jalisco,Mexico,3294,144,141,18
2024-01-30,veracruz,Mexico,1359,52,36,2
2024-01-30,guanajuato,Mexico,969,30,27,2
2024-01-30,sinaloa,Mexico,805,34,25,1
2024-01-30,puebla,Mexico,996,32,34,3
2024-01-30,querétaro,Mexico,763,36,30,3
2024-01-30,baja california,Mexico,795,23,18,2
2024-01-30,chihuahua,Mexico,694,25,26,4
2024-01-30,sonora,Mexico,710,28,20,3
2024-01-30,coahuila,Mexico,659,26,16,1
2024-01-30,tamaulipas,Mexico,692,17,22,3
2024-01-30,yucatán,Mexico,867,42,30,4
2024-01-30,quintana roo,Mexico,675,24,21,2
2024-01-30,michoacán,Mexico,557,18,16,1
2024-01-30,morelos,Mexico,409,13,10,1
2024-01-30,tabasco,Mexico,634,22,17,4
2024-01-30,guerrero,Mexico,364,14,16,3
2024-01-30,chiapas,Mexico,316,11,12,4
2024-01-30,san luis potosí,Mexico,319,11,3,0
2024-01-30,hidalgo,Mexico,339,16,11,1
2024-01-30,oaxaca,Mexico,166,5,4,0
2024-01-30,aguascalientes,Mexico,212,13,2,0
2024-01-30,zacatecas,Mexico,158,8,6,0
2024-01-30,baja california sur,Mexico,202,6,6,0
2024-01-30,durango,Mexico,141,6,4,0
2024-01-30,campeche,Mexico,215,8,6,0
2024-01-30,nayarit,Mexico,155,4,6,0
2024-01-30,colima,Mexico,118,14,10,1
2024-01-30,tlaxcala,Mexico,113,7,5,0
2024-01-31,mexico city,Mexico,9375,378,374,43
2024-01-31,méxico,Mexico,4488,199,180,22
2024-01-31,nuevo león,Mexico,2942,133,111,18
2024-01-31,jalisco,Mexico,3563,143,146,25
2024-01-31,veracruz,Mexico,1408,80,75,10
2024-01-31,guanajuato,Mexico,1100,41,39,5
2024-01-31,sinaloa,Mexico,917,52,38,3
2024-01-31,puebla,Mexico,1047,30,34,3
2024-01-31,querétaro,Mexico,848,34,21,3
2024-01-31,baja california,Mexico,796,23,22,1
2024-01-31,chihuahua,Mexico,726,26,12,1
2024-01-31,sonora,Mexico,742,29,28,3
2024-01-31,coahuila,Mexico,705,30,26,2
2024-01-31,tamaulipas,Mexico,710,28,20,1
2024-01-31,yucatán,Mexico,930,45,41,4
2024-01-31,quintana roo,Mexico,739,30,32,4
2024-01-31,michoacán,Mexico,597,27,17,6
2024-01-31,morelos,Mexico,432,17,14,0
2024-01-31,tabasco,Mexico,644,25,21,1
2024-01-31,guerrero,Mexico,361,15,10,1
2024-01-31,chiapas,Mexico,311,12,10,1
2024-01-31,san luis potosí,Mexico,346,6,9,2
2024-01-31,hidalgo,Mexico,347,11,8,2
2024-01-31,oaxaca,Mexico,179,10,10,1
2024-01-31,aguascalientes,Mexico,250,10,5,0
2024-01-31,zacatecas,Mexico,178,4,4,0
2024-01-31,baja california sur,Mexico,214,5,6,0
2024-01-31,durango,Mexico,170,9,6,1
2024-01-31,campeche,Mexico,251,9,12,1
2024-01-31,nayarit,Mexico,126,5,3,1
2024-01-31,colima,Mexico,122,7,7,1
2024-01-31,tlaxcala,Mexico,150,8,7,2
2024-02-01,mexico city,Mexico,12105,616,504,71
2024-02-01,méxico,Mexico,5738,253,220,34
2024-02-01,nuevo león,Mexico,4016,177,135,14
2024-02-01,jalisco,Mexico,4314,225,204,16
2024-02-01,veracruz,Mexico,2080,98,87,9
2024-02-01,guanajuato,Mexico,1316,80,50,4
2024-02-01,sinaloa,Mexico,1186,69,48,3
2024-02-01,puebla,Mexico,1400,75,70,5
2024-02-01,querétaro,Mexico,1001,50,37,4
2024-02-01,baja california,Mexico,1111,49,34,4
2024-02-01,chihuahua,Mexico,991,49,26,1
2024-02-01,sonora,Mexico,1072,60,38,4
2024-02-01,coahuila,Mexico,923,41,26,2
2024-02-01,tamaulipas,Mexico,982,34,30,3
2024-02-01,yucatán,Mexico,1204,62,59,4
2024-02-01,quintana roo,Mexico,1003,58,45,3
2024-02-01,michoacán,Mexico,835,42,36,4
2024-02-01,morelos,Mexico,698,28,26,2
2024-02-01,tabasco,Mexico,876,34,33,8
2024-02-01,guerrero,Mexico,521,38,32,4
2024-02-01,chiapas,Mexico,480,31,28,3
2024-02-01,san luis potosí,Mexico,467,22,21,2
2024-02-01,hidalgo,Mexico,516,37,24,2
2024-02-01,oaxaca,Mexico,259,12,13,3
2024-02-01,aguascalientes,Mexico,336,21,14,3
2024-02-01,zacatecas,Mexico,235,12,13,1
2024-02-01,baja california sur,Mexico,246,7,5,0
2024-02-01,durango,Mexico,238,9,5,1
2024-02-01,campeche,Mexico,316,15,10,2
2024-02-01,nayarit,Mexico,191,11,10,0
2024-02-01,colima,Mexico,166,5,4,1
2024-02-01,tlaxcala,Mexico,183,12,10,1
2024-02-02,mexico city,Mexico,9604,414,362,47
2024-02-02,méxico,Mexico,4767,203,187,26
2024-02-02,nuevo león,Mexico,3264,135,105,11
2024-02-02,jalisco,Mexico,3730,165,160,20
2024-02-02,veracruz,Mexico,1865,82,76,8
2024-02-02,guanajuato,Mexico,1165,51,39,1
2024-02-02,sinaloa,Mexico,970,42,35,5
2024-02-02,puebla,Mexico,1222,46,50,2
2024-02-02,querétaro,Mexico,781,28,24,1
2024-02-02,baja california,Mexico,882,42,39,0
2024-02-02,chihuahua,Mexico,808,30,25,0
2024-02-02,sonora,Mexico,813,25,14,0
2024-02-02,coahuila,Mexico,769,32,36,2
2024-02-02,tamaulipas,Mexico,843,37,33,3
2024-02-02,yucatán,Mexico,1041,49,51,7
2024-02-02,quintana roo,Mexico,870,33,29,5
2024-02-02,michoacán,Mexico,704,43,37,5
2024-02-02,morelos,Mexico,571,16,17,1
2024-02-02,tabasco,Mexico,776,28,22,2
2024-02-02,guerrero,Mexico,406,17,20,2
2024-02-02,chiapas,Mexico,378,16,14,1
2024-02-02,san luis potosí,Mexico,403,21,16,1
2024-02-02,hidalgo,Mexico,410,19,24,4
2024-02-02,oaxaca,Mexico,204,6,6,0
2024-02-02,aguascalientes,Mexico,217,13,7,2
2024-02-02,zacatecas,Mexico,191,3,6,2
2024-02-02,baja california sur,Mexico,245,12,5,0
2024-02-02,durango,Mexico,179,3,6,0
2024-02-02,campeche,Mexico,305,13,7,0
2024-02-02,nayarit,Mexico,152,5,7,1
2024-02-02,colima,Mexico,140,5,5,1
2024-02-02,tlaxcala,Mexico,160,12,19,2
2024-02-03,mexico city,Mexico,9591,403,335,38
2024-02-03,méxico,Mexico,4956,209,179,17
2024-02-03,nuevo león,Mexico,3000,151,106,9
2024-02-03,jalisco,Mexico,3497,134,125,10
2024-02-03,veracruz,Mexico,1699,71,72,5
2024-02-03,guanajuato,Mexico,1104,55,44,6
2024-02-03,sinaloa,Mexico,981,44,39,4
2024-02-03,puebla,Mexico,1175,53,53,9
2024-02-03,querétaro,Mexico,873,46,35,2
2024-02-03,baja california,Mexico,782,36,23,2
2024-02-03,chihuahua,Mexico,795,38,27,1
2024-02-03,sonora,Mexico,738,40,22,4
2024-02-03,coahuila,Mexico,757,31,26,2
2024-02-03,tamaulipas,Mexico,753,31,29,3
2024-02-03,yucatán,Mexico,1012,35,32,2
2024-02-03,quintana roo,Mexico,882,31,29,3
2024-02-03,michoacán,Mexico,666,32,27,1
2024-02-03,morelos,Mexico,527,24,16,1
2024-02-03,tabasco,Mexico,758,26,29,4
2024-02-03,guerrero,Mexico,386,22,14,0
2024-02-03,chiapas,Mexico,399,11,10,0
2024-02-03,san luis potosí,Mexico,294,12,13,2
2024-02-03,hidalgo,Mexico,362,21,18,2
2024-02-03,oaxaca,Mexico,214,6,5,1
2024-02-03,aguascalientes,Mexico,277,12,10,0
2024-02-03,zacatecas,Mexico,203,8,8,0
2024-02-03,baja california sur,Mexico,188,8,5,0
2024-02-03,durango,Mexico,179,4,4,0
2024-02-03,campeche,Mexico,323,12,15,2
2024-02-03,nayarit,Mexico,144,3,4,0
2024-02-03,colima,Mexico,143,7,5,0
2024-02-03,tlaxcala,Mexico,153,10,6,0
2024-02-04,mexico city,Mexico,9764,396,366,41
2024-02-04,méxico,Mexico,5388,230,204,31
2024-02-04,nuevo león,Mexico,3252,145,103,14
2024-02-04,jalisco,Mexico,3678,158,130,12
2024-02-04,veracruz,Mexico,1805,77,76,5
2024-02-04,guanajuato,Mexico,1169,49,46,5
2024-02-04,sinaloa,Mexico,1064,39,28,4
2024-02-04,puebla,Mexico,1155,52,40,0
2024-02-04,querétaro,Mexico,939,34,33,4
2024-02-04,baja california,Mexico,884,46,43,5
2024-02-04,chihuahua,Mexico,853,30,27,3
2024-02-04,sonora,Mexico,863,37,34,0
2024-02-04,coahuila,Mexico,813,29,23,1
2024-02-04,tamaulipas,Mexico,862,41,28,0
2024-02-04,yucatán,Mexico,1004,46,42,3
2024-02-04,quintana roo,Mexico,878,45,41,4
2024-02-04,michoacán,Mexico,727,27,26,2
2024-02-04,morelos,Mexico,649,17,18,3
2024-02-04,tabasco,Mexico,698,28,21,2
2024-02-04,guerrero,Mexico,385,21,11,0
2024-02-04,chiapas,Mexico,382,13,16,1
2024-02-04,san luis potosí,Mexico,324,15,14,2
2024-02-04,hidalgo,Mexico,383,9,8,0
2024-02-04,oaxaca,Mexico,223,8,4,1
2024-02-04,aguascalientes,Mexico,269,9,2,0
2024-02-04,zacatecas,Mexico,202,10,9,2
2024-02-04,baja california sur,Mexico,183,12,9,0
2024-02-04,durango,Mexico,207,5,6,1
2024-02-04,campeche,Mexico,314,8,9,2
2024-02-04,nayarit,Mexico,155,9,4,3
2024-02-04,colima,Mexico,130,7,4,0
2024-02-04,tlaxcala,Mexico,174,11,7,0
2024-02-05,mexico city,Mexico,9630,420,420,48
2024-02-05,méxico,Mexico,5220,249,253,21
2024-02-05,nuevo león,Mexico,3461,158,119,13
2024-02-05,jalisco,Mexico,3788,176,156,26
2024-02-05,veracruz,Mexico,1696,68,70,11
2024-02-05,guanajuato,Mexico,1127,41,36,4
2024-02-05,sinaloa,Mexico,1067,49,30,3
2024-02-05,puebla,Mexico,1138,62,53,5
2024-02-05,querétaro,Mexico,915,51,38,8
2024-02-05,baja california,Mexico,954,39,24,1
2024-02-05,chihuahua,Mexico,843,35,33,2
2024-02-05,sonora,Mexico,921,40,29,3
2024-02-05,coahuila,Mexico,819,32,23,2
2024-02-05,tamaulipas,Mexico,817,34,23,0
2024-02-05,yucatán,Mexico,877,45,46,8
2024-02-05,quintana roo,Mexico,785,38,36,2
2024-02-05,michoacán,Mexico,673,34,30,1
2024-02-05,morelos,Mexico,499,14,13,3
2024-02-05,tabasco,Mexico,730,23,20,0
2024-02-05,guerrero,Mexico,401,15,13,0
2024-02-05,chiapas,Mexico,392,21,24,2
2024-02-05,san luis potosí,Mexico,383,19,20,2
2024-02-05,hidalgo,Mexico,357,13,9,2
2024-02-05,oaxaca,Mexico,202,9,14,0
2024-02-05,aguascalientes,Mexico,267,11,10,0
2024-02-05,zacatecas,Mexico,232,15,10,2
2024-02-05,baja california sur,Mexico,239,7,3,0
2024-02-05,durango,Mexico,177,7,9,0
2024-02-05,campeche,Mexico,265,15,9,3
2024-02-05,nayarit,Mexico,145,9,11,2
2024-02-05,colima,Mexico,134,5,7,0
2024-02-05,tlaxcala,Mexico,148,9,8,2
2024-02-06,mexico city,Mexico,10612,453,420,47
2024-02-06,méxico,Mexico,4940,196,195,21
2024-02-06,nuevo león,Mexico,3480,138,107,10
2024-02-06,jalisco,Mexico,3823,170,155,11
2024-02-06,veracruz,Mexico,1702,80,65,6
2024-02-06,guanajuato,Mexico,1132,44,45,5
2024-02-06,sinaloa,Mexico,1097,53,45,6
2024-02-06,puebla,Mexico,1184,50,50,6
2024-02-06,querétaro,Mexico,930,38,29,4
2024-02-06,baja california,Mexico,1036,47,39,0
2024-02-06,chihuahua,Mexico,892,46,40,4
2024-02-06,sonora,Mexico,949,48,32,5
2024-02-06,coahuila,Mexico,805,33,26,3
2024-02-06,tamaulipas,Mexico,831,22,18,1
2024-02-06,yucatán,Mexico,931,45,33,2
2024-02-06,quintana roo,Mexico,782,54,50,5
2024-02-06,michoacán,Mexico,657,33,34,5
2024-02-06,morelos,Mexico,506,22,19,1
2024-02-06,tabasco,Mexico,789,28,35,3
2024-02-06,guerrero,Mexico,365,21,20,3
2024-02-06,chiapas,Mexico,409,21,20,3
2024-02-06,san luis potosí,Mexico,346,17,10,1
2024-02-06,hidalgo,Mexico,360,12,8,1
2024-02-06,oaxaca,Mexico,185,6,6,1
2024-02-06,aguascalientes,Mexico,260,10,8,0
2024-02-06,zacatecas,Mexico,209,10,13,2
2024-02-06,baja california sur,Mexico,234,9,7,1
2024-02-06,durango,Mexico,196,10,9,3
2024-02-06,campeche,Mexico,261,12,10,0
2024-02-06,nayarit,Mexico,159,10,10,1
2024-02-06,colima,Mexico,120,4,7,0
2024-02-06,tlaxcala,Mexico,156,9,3,0
2024-02-07,mexico city,Mexico,10672,483,399,40
2024-02-07,méxico,Mexico,4749,205,197,28
2024-02-07,nuevo león,Mexico,3388,157,101,13
2024-02-07,jalisco,Mexico,3913,197,179,18
2024-02-07,veracruz,Mexico,1706,63,47,10
2024-02-07,guanajuato,Mexico,1170,55,48,2
2024-02-07,sinaloa,Mexico,1209,62,48,4
2024-02-07,puebla,Mexico,1116,48,44,6
2024-02-07,querétaro,Mexico,945,39,23,3
2024-02-07,baja california,Mexico,1005,52,41,2
2024-02-07,chihuahua,Mexico,922,40,44,4
2024-02-07,sonora,Mexico,939,33,24,1
2024-02-07,coahuila,Mexico,788,45,33,2
2024-02-07,tamaulipas,Mexico,776,27,23,6
2024-02-07,yucatán,Mexico,886,33,25,2
2024-02-07,quintana roo,Mexico,809,46,41,3
2024-02-07,michoacán,Mexico,693,32,35,6
2024-02-07,morelos,Mexico,507,26,12,0
2024-02-07,tabasco,Mexico,704,29,21,2
2024-02-07,guerrero,Mexico,365,12,19,2
2024-02-07,chiapas,Mexico,392,26,22,3
2024-02-07,san luis potosí,Mexico,342,27,14,4
2024-02-07,hidalgo,Mexico,389,15,13,3
2024-02-07,oaxaca,Mexico,182,10,6,0
2024-02-07,aguascalientes,Mexico,287,7,11,2
2024-02-07,zacatecas,Mexico,197,8,4,0
2024-02-07,baja california sur,Mexico,242,6,8,0
2024-02-07,durango,Mexico,187,16,12,1
2024-02-07,campeche,Mexico,261,14,17,1
2024-02-07,nayarit,Mexico,142,6,4,1
2024-02-07,colima,Mexico,118,2,3,0
2024-02-07,tlaxcala,Mexico,146,6,2,0
2024-02-08,mexico city,Mexico,11800,426,377,49
2024-02-08,méxico,Mexico,5480,183,172,21
2024-02-08,nuevo león,Mexico,4028,159,131,12
2024-02-08,jalisco,Mexico,4284,165,140,13
2024-02-08,veracruz,Mexico,1912,66,65,2
2024-02-08,guanajuato,Mexico,1337,42,35,6
2024-02-08,sinaloa,Mexico,1199,52,43,5
2024-02-08,puebla,Mexico,1256,39,29,0
2024-02-08,querétaro,Mexico,1063,47,28,5
2024-02-08,baja california,Mexico,1093,36,42,1
2024-02-08,chihuahua,Mexico,939,35,29,3
2024-02-08,sonora,Mexico,1053,42,41,4
2024-02-08,coahuila,Mexico,895,19,17,1
2024-02-08,tamaulipas,Mexico,1009,37,22,3
2024-02-08,yucatán,Mexico,1216,40,39,3
2024-02-08,quintana roo,Mexico,997,50,46,3
2024-02-08,michoacán,Mexico,802,27,28,5
2024-02-08,morelos,Mexico,580,18,15,2
2024-02-08,tabasco,Mexico,815,25,30,2
2024-02-08,guerrero,Mexico,452,15,10,4
2024-02-08,chiapas,Mexico,418,12,17,1
2024-02-08,san luis potosí,Mexico,381,15,10,5
2024-02-08,hidalgo,Mexico,462,25,22,2
2024-02-08,oaxaca,Mexico,217,8,6,1
2024-02-08,aguascalientes,Mexico,300,14,9,1
2024-02-08,zacatecas,Mexico,230,10,11,2
2024-02-08,baja california sur,Mexico,220,7,3,0
2024-02-08,durango,Mexico,218,8,8,1
2024-02-08,campeche,Mexico,297,7,9,0
2024-02-08,nayarit,Mexico,177,3,5,0
2024-02-08,colima,Mexico,129,8,9,1
2024-02-08,tlaxcala,Mexico,170,6,11,1
2024-02-09,mexico city,Mexico,10205,360,314,38
2024-02-09,méxico,Mexico,4603,179,176,19
2024-02-09,nuevo león,Mexico,3692,132,116,11
2024-02-09,jalisco,Mexico,3924,153,138,20
2024-02-09,veracruz,Mexico,1771,44,44,3
2024-02-09,guanajuato,Mexico,1154,35,32,3
2024-02-09,sinaloa,Mexico,1090,53,48,7
2024-02-09,puebla,Mexico,1207,41,36,6
2024-02-09,querétaro,Mexico,928,36,25,3
2024-02-09,baja california,Mexico,945,28,17,1
2024-02-09,chihuahua,Mexico,839,33,29,3
2024-02-09,sonora,Mexico,902,34,29,2
2024-02-09,coahuila,Mexico,938,35,26,1
2024-02-09,tamaulipas,Mexico,882,34,24,0
2024-02-09,yucatán,Mexico,1047,34,33,5
2024-02-09,quintana roo,Mexico,899,34,18,1
2024-02-09,michoacán,Mexico,726,33,22,3
2024-02-09,morelos,Mexico,526,16,16,1
2024-02-09,tabasco,Mexico,756,27,18,3
2024-02-09,guerrero,Mexico,403,18,17,2
2024-02-09,chiapas,Mexico,333,13,16,2
2024-02-09,san luis potosí,Mexico,377,11,7,0
2024-02-09,hidalgo,Mexico,403,17,14,3
2024-02-09,oaxaca,Mexico,209,8,9,0
2024-02-09,aguascalientes,Mexico,240,7,3,1
2024-02-09,zacatecas,Mexico,198,9,8,1
2024-02-09,baja california sur,Mexico,254,11,11,0
2024-02-09,durango,Mexico,216,8,7,0
2024-02-09,campeche,Mexico,243,12,9,1
2024-02-09,nayarit,Mexico,154,5,3,1
2024-02-09,colima,Mexico,103,3,6,0
2024-02-09,tlaxcala,Mexico,160,15,10,2
2024-02-10,mexico city,Mexico,9092,326,334,32
2024-02-10,méxico,Mexico,4204,167,164,17
2024-02-10,nuevo león,Mexico,3195,107,86,5
2024-02-10,jalisco,Mexico,3470,138,116,14
2024-02-10,veracruz,Mexico,1521,58,60,9
2024-02-10,guanajuato,Mexico,1096,46,52,5
2024-02-10,sinaloa,Mexico,925,38,33,2
2024-02-10,puebla,Mexico,1028,24,30,1
2024-02-10,querétaro,Mexico,823,38,33,2
2024-02-10,baja california,Mexico,835,21,15,1
2024-02-10,chihuahua,Mexico,782,37,28,1
2024-02-10,sonora,Mexico,797,29,25,1
2024-02-10,coahuila,Mexico,727,31,22,1
2024-02-10,tamaulipas,Mexico,789,26,29,5
2024-02-10,yucatán,Mexico,853,21,26,3
2024-02-10,quintana roo,Mexico,712,35,36,3
2024-02-10,michoacán,Mexico,629,24,24,2
2024-02-10,morelos,Mexico,484,19,17,0
2024-02-10,tabasco,Mexico,665,23,24,2
2024-02-10,guerrero,Mexico,379,13,11,3
2024-02-10,chiapas,Mexico,321,16,12,2
2024-02-10,san luis potosí,Mexico,319,10,16,1
2024-02-10,hidalgo,Mexico,350,10,13,0
2024-02-10,oaxaca,Mexico,180,5,4,0
2024-02-10,aguascalientes,Mexico,230,6,10,2
2024-02-10,zacatecas,Mexico,179,6,5,1
2024-02-10,baja california sur,Mexico,188,8,7,2
2024-02-10,durango,Mexico,178,5,4,2
2024-02-10,campeche,Mexico,197,6,6,0
2024-02-10,nayarit,Mexico,143,9,4,0
2024-02-10,colima,Mexico,99,5,2,0
2024-02-10,tlaxcala,Mexico,124,6,5,0
2024-02-11,mexico city,Mexico,9418,396,376,36
2024-02-11,méxico,Mexico,4646,192,204,23
2024-02-11,nuevo león,Mexico,3419,114,88,11
2024-02-11,jalisco,Mexico,3795,172,154,15
2024-02-11,veracruz,Mexico,1616,66,63,10
2024-02-11,guanajuato,Mexico,1179,44,44,3
2024-02-11,sinaloa,Mexico,993,42,30,1
2024-02-11,puebla,Mexico,1020,43,41,2
2024-02-11,querétaro,Mexico,954,51,35,4
2024-02-11,baja california,Mexico,795,32,28,1
2024-02-11,chihuahua,Mexico,845,29,27,5
2024-02-11,sonora,Mexico,833,34,34,4
2024-02-11,coahuila,Mexico,844,39,28,3
2024-02-11,tamaulipas,Mexico,816,25,20,2
2024-02-11,yucatán,Mexico,855,29,28,3
2024-02-11,quintana roo,Mexico,743,31,42,4
2024-02-11,michoacán,Mexico,659,23,22,2
2024-02-11,morelos,Mexico,541,18,10,1
2024-02-11,tabasco,Mexico,650,18,17,0
2024-02-11,guerrero,Mexico,354,15,11,1
2024-02-11,chiapas,Mexico,324,15,15,1
2024-02-11,san luis potosí,Mexico,393,13,17,1
2024-02-11,hidalgo,Mexico,387,17,14,1
2024-02-11,oaxaca,Mexico,220,10,10,1
2024-02-11,aguascalientes,Mexico,248,10,11,2
2024-02-11,zacatecas,Mexico,220,8,7,0
2024-02-11,baja california sur,Mexico,195,8,11,1
2024-02-11,durango,Mexico,180,6,8,0
2024-02-11,campeche,Mexico,215,2,1,0
2024-02-11,nayarit,Mexico,138,8,12,0
2024-02-11,colima,Mexico,115,4,2,0
2024-02-11,tlaxcala,Mexico,138,7,4,0
2024-02-12,mexico city,Mexico,10842,426,384,45
2024-02-12,méxico,Mexico,4802,225,198,16
2024-02-12,nuevo león,Mexico,3825,158,147,14
2024-02-12,jalisco,Mexico,4069,177,152,15
2024-02-12,veracruz,Mexico,1682,62,53,4
2024-02-12,guanajuato,Mexico,1309,48,44,3
2024-02-12,sinaloa,Mexico,1181,45,43,7
2024-02-12,puebla,Mexico,1052,35,34,3
2024-02-12,querétaro,Mexico,967,39,29,5
2024-02-12,baja california,Mexico,998,24,25,1
2024-02-12,chihuahua,Mexico,896,23,20,4
2024-02-12,sonora,Mexico,956,34,30,2
2024-02-12,coahuila,Mexico,842,27,25,1
2024-02-12,tamaulipas,Mexico,910,27,26,1
2024-02-12,yucatán,Mexico,897,43,38,7
2024-02-12,quintana roo,Mexico,857,34,34,6
2024-02-12,michoacán,Mexico,660,29,32,5
2024-02-12,morelos,Mexico,560,14,13,1
2024-02-12,tabasco,Mexico,637,21,20,1
2024-02-12,guerrero,Mexico,408,19,16,3
2024-02-12,chiapas,Mexico,336,16,19,2
2024-02-12,san luis potosí,Mexico,349,12,7,0
2024-02-12,hidalgo,Mexico,422,16,14,1
2024-02-12,oaxaca,Mexico,194,9,9,1
2024-02-12,aguascalientes,Mexico,285,11,13,0
2024-02-12,zacatecas,Mexico,209,5,3,1
2024-02-12,baja california sur,Mexico,215,6,1,0
2024-02-12,durango,Mexico,213,12,8,1
2024-02-12,campeche,Mexico,223,6,4,0
2024-02-12,nayarit,Mexico,160,6,7,0
2024-02-12,colima,Mexico,118,6,5,2
2024-02-12,tlaxcala,Mexico,150,8,7,1
2024-02-13,mexico city,Mexico,11618,425,433,43
2024-02-13,méxico,Mexico,5005,218,203,24
2024-02-13,nuevo león,Mexico,4044,174,163,18
2024-02-13,jalisco,Mexico,4143,177,160,11
2024-02-13,veracruz,Mexico,1595,61,48,6
2024-02-13,guanajuato,Mexico,1245,50,33,2
2024-02-13,sinaloa,Mexico,1151,46,35,2
2024-02-13,puebla,Mexico,1179,37,34,2
2024-02-13,querétaro,Mexico,947,29,21,3
2024-02-13,baja california,Mexico,1046,29,20,2
2024-02-13,chihuahua,Mexico,954,26,26,2
2024-02-13,sonora,Mexico,1131,55,42,2
2024-02-13,coahuila,Mexico,902,40,30,3
2024-02-13,tamaulipas,Mexico,903,37,27,2
2024-02-13,yucatán,Mexico,1001,33,15,0
2024-02-13,quintana roo,Mexico,907,43,42,5
2024-02-13,michoacán,Mexico,672,32,24,2
2024-02-13,morelos,Mexico,520,24,25,0
2024-02-13,tabasco,Mexico,713,29,23,2
2024-02-13,guerrero,Mexico,362,10,8,0
2024-02-13,chiapas,Mexico,336,11,12,3
2024-02-13,san luis potosí,Mexico,371,13,9,1
2024-02-13,hidalgo,Mexico,424,19,13,2
2024-02-13,oaxaca,Mexico,202,9,7,0
2024-02-13,aguascalientes,Mexico,300,11,7,0
2024-02-13,zacatecas,Mexico,205,10,7,0
2024-02-13,baja california sur,Mexico,231,7,7,1
2024-02-13,durango,Mexico,205,7,5,0
2024-02-13,campeche,Mexico,285,10,9,1
2024-02-13,nayarit,Mexico,169,4,5,0
2024-02-13,colima,Mexico,148,5,1,0
2024-02-13,tlaxcala,Mexico,146,6,5,0
2024-02-14,mexico city,Mexico,8851,349,322,38
2024-02-14,méxico,Mexico,3796,143,152,14
2024-02-14,nuevo león,Mexico,2641,111,81,10
2024-02-14,jalisco,Mexico,3103,107,95,7
2024-02-14,veracruz,Mexico,1184,45,44,3
2024-02-14,guanajuato,Mexico,888,37,32,4
2024-02-14,sinaloa,Mexico,818,30,24,5
2024-02-14,puebla,Mexico,906,42,35,6
2024-02-14,querétaro,Mexico,774,36,35,4
2024-02-14,baja california,Mexico,790,20,18,2
2024-02-14,chihuahua,Mexico,633,16,11,0
2024-02-14,sonora,Mexico,688,18,15,2
2024-02-14,coahuila,Mexico,649,31,20,3
2024-02-14,tamaulipas,Mexico,575,21,19,2
2024-02-14,yucatán,Mexico,771,36,34,6
2024-02-14,quintana roo,Mexico,625,28,28,3
2024-02-14,michoacán,Mexico,522,18,14,1
2024-02-14,morelos,Mexico,380,16,14,1
2024-02-14,tabasco,Mexico,476,14,10,0
2024-02-14,guerrero,Mexico,291,12,7,1
2024-02-14,chiapas,Mexico,280,12,8,1
2024-02-14,san luis potosí,Mexico,273,10,8,1
2024-02-14,hidalgo,Mexico,277,15,16,5
2024-02-14,oaxaca,Mexico,141,5,9,2
